"Category","ID","Requirement","URL","v2025.6.0","v2025.3.0","v2024.7.0","v2024.2.0"
"lanelet2 format version","","","","1","1","1","1"
"カテゴリー レーン","-","道路のレーンの作成要件と適用フロー（隣りに道路の場合）","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/","No","No","No","No"
"カテゴリー レーン","-","道路のレーンの作成要件と適用フロー（端の場合）","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/","No","No","No","No"
"カテゴリー レーン","vm-01-01","レーンの基本","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-01-%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%AE%E5%9F%BA%E6%9C%AC","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-02","レーンチェンジの許可","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-02-%E3%83%AC%E3%83%BC%E3%83%B3%E3%83%81%E3%82%A7%E3%83%B3%E3%82%B8%E3%81%AE%E8%A8%B1%E5%8F%AF","No","No","No","No"
"カテゴリー レーン","vm-01-03","Linestring の共有","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-03-linestring-%E3%81%AE%E5%85%B1%E6%9C%89","No","No","No","No"
"カテゴリー レーン","vm-01-04","対向車線のレーンの中央線の共有","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-04-%E5%AF%BE%E5%90%91%E8%BB%8A%E7%B7%9A%E3%81%AE%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%AE%E4%B8%AD%E5%A4%AE%E7%B7%9A%E3%81%AE%E5%85%B1%E6%9C%89","No","No","No","No"
"カテゴリー レーン","vm-01-05","レーンの形状","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-05-%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%AE%E5%BD%A2%E7%8A%B6","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-06","線の位置(1)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-06-%E7%B7%9A%E3%81%AE%E4%BD%8D%E7%BD%AE1","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-07","線の位置(2)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-07-%E7%B7%9A%E3%81%AE%E4%BD%8D%E7%BD%AE2","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-08","線の位置(3)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-08-%E7%B7%9A%E3%81%AE%E4%BD%8D%E7%BD%AE3","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-09","速度制限","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-09-%E9%80%9F%E5%BA%A6%E5%88%B6%E9%99%90","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-10","centerline","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-10-centerline","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-11","centerline の接続(1)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-11-centerline-%E3%81%AE%E6%8E%A5%E7%B6%9A1","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-12","centerline の接続(2)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-12-centerline-%E3%81%AE%E6%8E%A5%E7%B6%9A2","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-13","中央線がない 1 車線の道路(1)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-13-%E4%B8%AD%E5%A4%AE%E7%B7%9A%E3%81%8C%E3%81%AA%E3%81%84-1-%E8%BB%8A%E7%B7%9A%E3%81%AE%E9%81%93%E8%B7%AF1","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-14","中央線がない 1 車線の道路(2)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-14-%E4%B8%AD%E5%A4%AE%E7%B7%9A%E3%81%8C%E3%81%AA%E3%81%84-1-%E8%BB%8A%E7%B7%9A%E3%81%AE%E9%81%93%E8%B7%AF2","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-15","路肩","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-15-%E8%B7%AF%E8%82%A9","No","No","No","No"
"カテゴリー レーン","vm-01-16","路肩の Linestring の共有","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-16-%E8%B7%AF%E8%82%A9%E3%81%AE-linestring-%E3%81%AE%E5%85%B1%E6%9C%89","No","No","No","No"
"カテゴリー レーン","vm-01-17","路側帯","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-17-%E8%B7%AF%E5%81%B4%E5%B8%AF","No","No","No","No"
"カテゴリー レーン","vm-01-18","路側帯の Linestring の共有","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-18-%E8%B7%AF%E5%81%B4%E5%B8%AF%E3%81%AE-linestring-%E3%81%AE%E5%85%B1%E6%9C%89","No","No","No","No"
"カテゴリー レーン","vm-01-19","歩道","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-19-%E6%AD%A9%E9%81%93","No","No","No","No"
"カテゴリー レーン","vm-01-20","Lanelet 間の Linestring の共有","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-20-lanelet-%E9%96%93%E3%81%AE-linestring-%E3%81%AE%E5%85%B1%E6%9C%89","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-21","Lanelet 間の前後の接続","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-21-lanelet-%E9%96%93%E3%81%AE%E5%89%8D%E5%BE%8C%E3%81%AE%E6%8E%A5%E7%B6%9A","Yes","Yes","Yes","Yes"
"カテゴリー 停止線","vm-02-01","停止線の位置","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_stop_line/#vm-02-01-%E5%81%9C%E6%AD%A2%E7%B7%9A%E3%81%AE%E4%BD%8D%E7%BD%AE","Yes","Yes","Yes","Yes"
"カテゴリー 停止線","vm-02-02","一時停止の道路標識","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_stop_line/#vm-02-02-%E4%B8%80%E6%99%82%E5%81%9C%E6%AD%A2%E3%81%AE%E9%81%93%E8%B7%AF%E6%A8%99%E8%AD%98","Yes","Yes","Yes","Yes"
"カテゴリー 停止線","vm-02-03","二段停止線","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_stop_line/#vm-02-03-%E4%BA%8C%E6%AE%B5%E5%81%9C%E6%AD%A2%E7%B7%9A","Yes","Yes","Yes","Yes"
"カテゴリー 停止線","vm-02-04","停止線の補足","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_stop_line/#vm-02-04-%E5%81%9C%E6%AD%A2%E7%B7%9A%E3%81%AE%E8%A3%9C%E8%B6%B3","Yes","Yes","Yes","Yes"
"カテゴリー 交差点","vm-03-01","交差点の構成","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-01-%E4%BA%A4%E5%B7%AE%E7%82%B9%E3%81%AE%E6%A7%8B%E6%88%90","No","No","No","No"
"カテゴリー 交差点","vm-03-02","レーンの turn_direction と virtual","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-02-%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%AE-turn_direction-%E3%81%A8-virtual","Yes","Yes","Yes","Yes"
"カテゴリー 交差点","vm-03-03","交差点内のレーンの幅","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-03-%E4%BA%A4%E5%B7%AE%E7%82%B9%E5%86%85%E3%81%AE%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%AE%E5%B9%85","No","No","No","No"
"カテゴリー 交差点","vm-03-04","交差点内のレーンの作成","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-04-%E4%BA%A4%E5%B7%AE%E7%82%B9%E5%86%85%E3%81%AE%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%AE%E4%BD%9C%E6%88%90","No","No","No","No"
"カテゴリー 交差点","vm-03-05","交差点内のレーンの分割","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-05-%E4%BA%A4%E5%B7%AE%E7%82%B9%E5%86%85%E3%81%AE%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%AE%E5%88%86%E5%89%B2","No","No","No","No"
"カテゴリー 交差点","vm-03-06","交差点内の誘導線","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-06-%E4%BA%A4%E5%B7%AE%E7%82%B9%E5%86%85%E3%81%AE%E8%AA%98%E5%B0%8E%E7%B7%9A","No","No","No","No"
"カテゴリー 交差点","vm-03-07","交差点内の複数レーン","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-07-%E4%BA%A4%E5%B7%AE%E7%82%B9%E5%86%85%E3%81%AE%E8%A4%87%E6%95%B0%E3%83%AC%E3%83%BC%E3%83%B3","No","No","No","No"
"カテゴリー 交差点","vm-03-08","Intersection Area の範囲","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-08-intersection-area-%E3%81%AE%E7%AF%84%E5%9B%B2","No","No","No","No"
"カテゴリー 交差点","vm-03-09","交差点内の Lanelet の範囲","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-09-%E4%BA%A4%E5%B7%AE%E7%82%B9%E5%86%85%E3%81%AE-lanelet-%E3%81%AE%E7%AF%84%E5%9B%B2","No","No","No","No"
"カテゴリー 交差点","vm-03-10","right_of_way（信号あり）","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-10-right_of_way%E4%BF%A1%E5%8F%B7%E3%81%82%E3%82%8A","No","No","No","No"
"カテゴリー 交差点","vm-03-11","right_of_way（信号なし）","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-11-right_of_way%E4%BF%A1%E5%8F%B7%E3%81%AA%E3%81%97","No","No","No","No"
"カテゴリー 交差点","vm-03-12","right_of_way の補足","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-12-right_of_way-%E3%81%AE%E8%A3%9C%E8%B6%B3","No","No","No","No"
"カテゴリー 交差点","vm-03-13","私有地からの合流、歩道","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-13-%E7%A7%81%E6%9C%89%E5%9C%B0%E3%81%8B%E3%82%89%E3%81%AE%E5%90%88%E6%B5%81%E6%AD%A9%E9%81%93","No","No","No","No"
"カテゴリー 交差点","vm-03-14","road marking","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-14-road-marking","No","No","No","No"
"カテゴリー 交差点","vm-03-15","普通自転車専用通行帯","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-15-%E6%99%AE%E9%80%9A%E8%87%AA%E8%BB%A2%E8%BB%8A%E5%B0%82%E7%94%A8%E9%80%9A%E8%A1%8C%E5%B8%AF","No","No","No","No"
"カテゴリー 交差点","vm-03-16","交差点調停のための仮想信号機","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-16-%E4%BA%A4%E5%B7%AE%E7%82%B9%E8%AA%BF%E5%81%9C%E3%81%AE%E3%81%9F%E3%82%81%E3%81%AE%E4%BB%AE%E6%83%B3%E4%BF%A1%E5%8F%B7%E6%A9%9F","Yes","Yes","Yes","Yes"
"カテゴリー 交差点","vm-03-17","交差点調停の仮想信号機の right_of_way","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-17-交差点調停の仮想信号機の-right_of_way","Yes","Yes","Yes","Yes"
"カテゴリー 交差点","vm-03-18","交差点調停の仮想信号機の制限事項","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_intersection/#vm-03-18-%E4%BA%A4%E5%B7%AE%E7%82%B9%E8%AA%BF%E5%81%9C%E3%81%AE%E4%BB%AE%E6%83%B3%E4%BF%A1%E5%8F%B7%E6%A9%9F%E3%81%AE%E5%88%B6%E9%99%90%E4%BA%8B%E9%A0%85","Yes","Yes","Yes","Yes"
"カテゴリー 信号機","vm-04-01","信号機の基本","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_traffic_light/#vm-04-01-%E4%BF%A1%E5%8F%B7%E6%A9%9F%E3%81%AE%E5%9F%BA%E6%9C%AC","No","No","No","No"
"カテゴリー 信号機","vm-04-02","信号機の位置とサイズ","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_traffic_light/#vm-04-02-%E4%BF%A1%E5%8F%B7%E6%A9%9F%E3%81%AE%E4%BD%8D%E7%BD%AE%E3%81%A8%E3%82%B5%E3%82%A4%E3%82%BA","No","No","No","No"
"カテゴリー 信号機","vm-04-03","信号機のライト","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_traffic_light/#vm-04-03-%E4%BF%A1%E5%8F%B7%E6%A9%9F%E3%81%AE%E3%83%A9%E3%82%A4%E3%83%88","No","No","No","No"
"カテゴリー 横断歩道","vm-05-01","車道を渡る横断歩道","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_crosswalk/#vm-05-01-%E8%BB%8A%E9%81%93%E3%82%92%E6%B8%A1%E3%82%8B%E6%A8%AA%E6%96%AD%E6%AD%A9%E9%81%93","No","No","No","No"
"カテゴリー 横断歩道","vm-05-02","歩行者用信号がある横断歩道","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_crosswalk/#vm-05-02-%E6%AD%A9%E8%A1%8C%E8%80%85%E7%94%A8%E4%BF%A1%E5%8F%B7%E3%81%8C%E3%81%82%E3%82%8B%E6%A8%AA%E6%96%AD%E6%AD%A9%E9%81%93","No","No","No","No"
"カテゴリー 横断歩道","vm-05-03","横断歩道で安全のための減速","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_crosswalk/#vm-05-03-%E6%A8%AA%E6%96%AD%E6%AD%A9%E9%81%93%E3%81%A7%E5%AE%89%E5%85%A8%E3%81%AE%E3%81%9F%E3%82%81%E3%81%AE%E6%B8%9B%E9%80%9F","No","No","No","No"
"カテゴリー 横断歩道","vm-05-04","自転車横断帯","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_crosswalk/#vm-05-04-%E8%87%AA%E8%BB%A2%E8%BB%8A%E6%A8%AA%E6%96%AD%E5%B8%AF","No","No","No","No"
"カテゴリー 横断歩道","vm-05-05","フェンス","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_crosswalk/#vm-05-05-%E3%83%95%E3%82%A7%E3%83%B3%E3%82%B9","No","No","No","No"
"カテゴリー 横断歩道","vm-05-06","横断歩道前後の駐停車禁止","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_crosswalk/#vm-05-06-%E6%A8%AA%E6%96%AD%E6%AD%A9%E9%81%93%E5%89%8D%E5%BE%8C%E3%81%AE%E9%A7%90%E5%81%9C%E8%BB%8A%E7%A6%81%E6%AD%A2","No","No","No","No"
"カテゴリー 横断歩道","vm-05-07","横断歩道の lanelet の形状","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_crosswalk/#vm-05-07-%E6%A8%AA%E6%96%AD%E6%AD%A9%E9%81%93%E3%81%AE-lanelet-%E3%81%AE%E5%BD%A2%E7%8A%B6","No","No","No","No"
"カテゴリー エリア","vm-06-01","導流帯","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_area/#vm-06-01-%E5%B0%8E%E6%B5%81%E5%B8%AF","No","No","No","No"
"カテゴリー エリア","vm-06-02","駐車禁止エリア","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_area/#vm-06-02-%E9%A7%90%E8%BB%8A%E7%A6%8B%E6%AD%A2%E3%82%A8%E3%83%AA%E3%82%A2","Yes","Yes","Yes","Yes"
"カテゴリー エリア","vm-06-03","停車禁止エリア","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_area/#vm-06-03-%E5%81%9C%E8%BB%8A%E7%A6%8B%E6%AD%A2%E3%82%A8%E3%83%AA%E3%82%A2","Yes","Yes","Yes","Yes"
"カテゴリー エリア","vm-06-04","停止禁止部分","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_area/#vm-06-04-%E5%81%9C%E6%AD%A2%E7%A6%8B%E6%AD%A2%E9%83%A8%E5%88%86","No","No","No","No"
"カテゴリー エリア","vm-06-05","注視エリア","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_area/#vm-06-05-%E6%B3%A8%E8%A6%96%E3%82%A8%E3%83%AA%E3%82%A2","Yes","Yes","Yes","Yes"
"カテゴリー エリア","vm-06-06","バス停エリア","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_area/#vm-06-06-%E3%83%90%E3%82%B9%E5%81%9C%E3%82%A8%E3%83%AA%E3%82%A2","No","No","No","No"
"カテゴリー その他","vm-07-01","地図作成する範囲","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_others/#vm-07-01-%E5%9C%B0%E5%9B%B3%E4%BD%9C%E6%88%90%E3%81%99%E3%82%8B%E7%AF%84%E5%9B%B2","No","No","No","No"
"カテゴリー その他","vm-07-02","飛び出し検知の範囲","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_others/#vm-07-02-%E9%A3%9B%E3%81%B3%E5%87%BA%E3%81%97%E6%A4%9C%E7%9F%A5%E3%81%AE%E7%AF%84%E5%9B%B2","No","No","No","No"
"カテゴリー その他","vm-07-03","ガードレール、ガードパイプ、フェンス","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_others/#vm-07-03-%E3%82%AC%E3%83%BC%E3%83%89%E3%83%AC%E3%83%BC%E3%83%AB%E3%82%AC%E3%83%BC%E3%83%89%E3%83%91%E3%82%A4%E3%83%97%E3%83%95%E3%82%A7%E3%83%B3%E3%82%B9","No","No","No","No"
"カテゴリー その他","vm-07-04","自転車ナビマーク/自転車ナビライン","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_others/#vm-07-04-%E8%87%AA%E8%BB%A2%E8%BB%8A%E3%83%8A%E3%83%93%E3%83%9E%E3%83%BC%E3%82%AF%E8%87%AA%E8%BB%8A%E8%BB%8A%E3%83%8A%E3%83%93%E3%83%A9%E3%82%A4%E3%83%B3","No","No","No","No"
"カテゴリー その他","vm-07-05","楕円体高","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_others/#vm-07-05-%E6%A5%95%E5%86%86%E4%BD%93%E9%AB%98","Yes","Yes","Yes","Yes"
"カテゴリー その他","vm-07-06","交差点と付加車線","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_others/#vm-07-06-%E4%BA%A4%E5%B7%AE%E7%82%B9%E3%81%A8%E4%BB%98%E5%8A%A0%E8%BB%8A%E7%B7%9A","No","No","No","No"
"カテゴリー その他","vm-07-07","バス停","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_others/#vm-07-07-%E3%83%90%E3%82%B9%E5%81%9C","No","No","No","No"
"カテゴリー その他","vm-07-08","レーンが重なる箇所の制限事項","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_others/#vm-07-08-%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%8C%E9%87%8D%E3%81%AA%E3%82%8B%E7%AE%87%E6%89%80%E3%81%AE%E5%88%B6%E9%99%90%E4%BA%8B%E9%A0%85","Yes","Yes","Yes","No"
"補足","-","日本の法律における用語定義 路面のペイント","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/appendix/","Yes","Yes","Yes","Yes"
"補足","-","路肩、路側帯、歩道の定義","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/appendix/","Yes","Yes","Yes","Yes"
"補足","-","駐車、停車、一時停止","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/appendix/","Yes","Yes","Yes","Yes"